CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CODIGO_DISCIPLINA;HORAS_DISCIPLIN;TIPO;SEMESTRE_IDEAL
14102100;1999;1411288;TECC (DID?T. CI?NCIA DA COMPUTA??O II);2;30;OPCIONAL;-1
14102100;1999;1411289;TECC (AN?LISE DE DADOS I);4;60;OPCIONAL;-1
14102100;1999;1411290;TECC(JOGOS DIGITAIS);4;60;OPCIONAL;-1
14102100;1999;1411291;TECC (PROJETO EM COMPUTA??O GR?FICA);4;60;OPCIONAL;-1
14102100;1999;1411292;TECC (AN?LISE DE DADOS II);4;60;OPCIONAL;-1
14102100;1999;1411293;TECC(LAB DE ADMINISTRACAO DE SISTEMAS I);2;30;OPCIONAL;-1
14102100;1999;1411294;TECC(PROJETO INTERDISCIPLINAR);4;60;OPCIONAL;-1
14102100;1999;1411295;TECC(PROJETO EM ARTE E TECNOLOGIA);4;60;OPCIONAL;-1
14102100;1999;1411296;TECC(VISUALIZACAO DE DADOS);2;30;OPCIONAL;-1
14102100;1999;1411297;TECC(PROCESSAMENTO DE SINAIS MULTIMIDIA);4;60;OPCIONAL;-1
14102100;1999;1411298;TECC(PROV E OPERACOES DE INFRAESTRUTURA);4;60;OPCIONAL;-1
14102100;1999;1411299;TECC(APLIC DE PARAD DE LING DE PROGRAM.);2;30;OPCIONAL;-1
14102100;1999;1411300;TECC(APLICACOES DE TEORIA DOS GRAFOS);2;30;OPCIONAL;-1
14102100;1999;1411302;TECC(PROGRAMACAO FUNCIONAL);4;60;OPCIONAL;-1
14102100;1999;1411303;TECC(VISUALIZACAO DE INFORMACAO);4;60;OPCIONAL;-1
14102100;1999;1411346;TECC(ESTAGIO INTEGRADO III);4;60;OPCIONAL;-1
14102100;1999;1411347;TECC(ESTAGIO INTEGRADO IV);4;60;OPCIONAL;-1
14102100;1999;1503038;CI?NCIAS DO AMBIENTE;3;45;OPCIONAL;-1
