CODE;MATRICULA;DISCIPLINA;CREDITO;HORAS;PERIODO;ID_CLASS;NOTA;SITUACAO;ESTADO
102210004;1411188;M?TODOS E SOFTWARE NUM?RICOS;4;60;2004.1;1;8.2;APROVADO;NORMAL
102210004;1411196;INTELIGENCIA ARTIFICIAL I;4;60;2004.1;;7;APROVADO;NORMAL
102210004;1411197;AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS;4;60;2004.1;1;7.9;APROVADO;NORMAL
102210004;1411238;SEMIN?RIOS (EDUCA??O AMBIENTAL);0;0;2004.1;1;7;APROVADO;NORMAL
102210005;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;2002.2;5;7.2;APROVADO;NORMAL
102210005;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2002.2;2;7.8;APROVADO;NORMAL
102210005;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2002.2;1;8.4;APROVADO;NORMAL
102210005;1411167;PROGRAMA??O I;4;60;2002.2;1;8.2;APROVADO;NORMAL
102210005;1411174;INTRODU??O ? COMPUTA??O;4;60;2002.2;1;8.6;APROVADO;NORMAL
102210005;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;2002.2;1;8.2;APROVADO;NORMAL
102210005;1108089;FUNDAMENTOS DE F?SICA CL?SSICA;4;60;2003.1;1;5.1;APROVADO;NORMAL
102210005;1109104;CALCULO DIFERENCIAL E INTEGRAL II;4;60;2003.1;2;7;APROVADO;NORMAL
102210005;1109113;MATEM?TICA DISCRETA;4;60;2003.1;1;7.4;APROVADO;NORMAL
102210005;1304055;FUTSAL;2;30;2003.1;1;9.5;APROVADO;NORMAL
102210005;1305218;METODOLOGIA CIENT?FICA;4;60;2003.1;1;8.7;APROVADO;NORMAL
102210005;1411168;PROGRAMA??O II;4;60;2003.1;1;5.4;APROVADO;NORMAL
102210005;1411170;TEORIA DOS GRAFOS;2;30;2003.1;1;5.6;APROVADO;NORMAL
102210005;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;2003.1;1;8.2;APROVADO;NORMAL
102210005;1108090;FUNDAMENTOS DE F?SICA MODERNA;4;60;2003.2;1;7.8;APROVADO;NORMAL
102210005;1109101;ALGEBRA LINEAR;4;60;2003.2;2;5.7;APROVADO;NORMAL
102210005;1114107;PROBABILIDADE E ESTAT?STICA;4;60;2003.2;2;7.3;APROVADO;NORMAL
102210005;1411171;TEORIA DA COMPUTA??O;4;60;2003.2;1;7.6;APROVADO;NORMAL
102210005;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2003.2;1;5.1;APROVADO;NORMAL
102210005;1411176;GER?NCIA DA INFORMA??O;4;60;2003.2;1;9;APROVADO;NORMAL
102210005;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2003.2;1;6.1;APROVADO;NORMAL
102210005;1114114;METODOS ESTATISTICOS;4;60;2004.1;1;-1;TRANCADO;NORMAL
102210005;1411169;PARADIGMAS DE LING. DE PROGRAMA??O;2;30;2004.1;1;9.6;APROVADO;NORMAL
102210005;1411173;L?GICA MATEM?TICA;4;60;2004.1;1;9.3;APROVADO;NORMAL
102210005;1411175;ORG.E ARQUITETURA DE COMPUTADORES I;4;60;2004.1;1;8.3;APROVADO;NORMAL
102210005;1411177;ENGENHARIA DE SOFTWARE I;4;60;2004.1;1;7.1;APROVADO;NORMAL
102210005;1411178;SISTEMAS DE INFORMA??O I;4;60;2004.1;1;-1;TRANCADO;NORMAL
102210005;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;2004.1;1;9.1;APROVADO;NORMAL
102210005;1114114;METODOS ESTATISTICOS;4;60;2004.2;1;7;APROVADO;NORMAL
102210005;1307011;INGLES;5;75;2004.2;3;10;APROVADO;NORMAL
102210005;1411178;SISTEMAS DE INFORMA??O I;4;60;2004.2;1;9;APROVADO;NORMAL
102210005;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210005;1411190;REDES DE COMPUTADORES;4;60;2004.2;1;7.8;APROVADO;NORMAL
102210005;1411202;ENGENHARIA DE SOFTWARE II;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210005;1305220;INFORM?TICA E SOCIEDADE;2;30;2005.1;1;9;APROVADO;NORMAL
102210005;1411184;LAB.DE INTERCON.DE REDES DE COMPUTADORES;2;30;2005.1;1;7;APROVADO;NORMAL
102210005;1411191;INTERCONEX?O DE REDES DE COMPUTADORES;2;30;2005.1;1;7;APROVADO;NORMAL
102210005;1411192;SISTEMAS OPERACIONAIS;4;60;2005.1;1;7.7;APROVADO;NORMAL
102210005;1411193;BANCO DE DADOS I;4;60;2005.1;1;7.7;APROVADO;NORMAL
102210005;1411195;SISTEMAS DE INFORMA??O II;4;60;2005.1;1;8.8;APROVADO;NORMAL
102210005;1305219;DIREITO E CIDADANIA;4;60;2005.2;1;9.3;APROVADO;NORMAL
102210005;1411183;LABORAT?RIO DE ENGENHARIA DE SOFTWARE;2;30;2005.2;1;9.1;APROVADO;NORMAL
102210005;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2005.2;1;5.8;APROVADO;NORMAL
102210005;1411194;BANCO DE DADOS II;4;60;2005.2;1;7.4;APROVADO;NORMAL
102210005;1411221;SISTEMAS DE INFORMA??ES GEOGR?FICAS;4;60;2005.2;1;9.5;APROVADO;NORMAL
102210005;1411238;SEMIN?RIOS (EDUCA??O AMBIENTAL);0;0;2005.2;1;8;APROVADO;NORMAL
102210005;1411255;TECC(LAB DE SISTEMAS OPERACIONAIS);2;30;2005.2;1;-1;TRANCADO;NORMAL
102210005;1411185;PROJETO EM COMPUTA??O I;4;60;2006.1;1;8.5;APROVADO;NORMAL
102210005;1411188;M?TODOS E SOFTWARE NUM?RICOS;4;60;2006.1;1;8.5;APROVADO;NORMAL
102210005;1411196;INTELIGENCIA ARTIFICIAL I;4;60;2006.1;1;8.9;APROVADO;NORMAL
102210005;1411198;ADM.DE SIST.GERENC.DE BANCO DE DADOS;4;60;2006.1;1;9.1;APROVADO;NORMAL
102210005;1411235;TECC(DESENV.DE APLIC.CORPORAT.AVAN?ADAS);4;60;2006.1;1;10;APROVADO;NORMAL
102210005;1411254;TECC(PROCESSAMENTO DIGITAL DE IMAGEM);4;60;2006.1;1;7.5;APROVADO;NORMAL
102210005;1411186;PROJETO EM COMPUTA??O II;6;90;2006.2;1;9.5;APROVADO;NORMAL
102210005;1411197;AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS;4;60;2006.2;1;7.4;APROVADO;NORMAL
102210005;1411224;SISTEMAS MULTIM?DIA;4;60;2006.2;1;8.5;APROVADO;NORMAL
102210005;1411256;TEC(PRINCIPIOS DE ADMIN FINANCEIRA);4;60;2006.2;1;9.5;APROVADO;NORMAL
102210005;1305033;SOCIOLOGIA INDUSTRIAL I;3;45;2007.1;3;8;APROVADO;NORMAL
102210005;1411189;COMPILADORES;4;60;2007.1;1;9.1;APROVADO;NORMAL
102210005;1411203;EST?GIO INTEGRADO;10;300;2007.1;1;10;APROVADO;NORMAL
102210006;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;2002.2;5;6;APROVADO;NORMAL
102210006;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2002.2;2;5.6;APROVADO;NORMAL
102210006;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2002.2;1;7.9;APROVADO;NORMAL
